,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date
929,148995.0,2 bedroom semi-detached house for sale,"Monymusk Gardens, Bishopbriggs, Glasgow",http://www.rightmove.co.uk/properties/124107662#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Source-Property/Clydebank-87101.html,,,2.0,2022-06-29 07:22:53.795003
930,148000.0,2 bedroom semi-detached house for sale,"11 Duke's Road, Cambuslang, Glasgow, G72 7BA",http://www.rightmove.co.uk/properties/124192892#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Pacitti-Jones/Burnside-58910.html,G72,G72 7BA,2.0,2022-06-29 07:22:53.795003
931,145000.0,1 bedroom flat for sale,"Kennyhill Square, Dennistoun, Glasgow, G31",http://www.rightmove.co.uk/properties/124149140#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Countrywide/Dennistoun-489.html,G31,,1.0,2022-06-29 07:22:53.795003
932,145000.0,3 bedroom semi-detached house for sale,"Tillycairn Avenue, Gartharmlock, Glasgow, G33",http://www.rightmove.co.uk/properties/124130753#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Countrywide/Dennistoun-489.html,G33,,3.0,2022-06-29 07:22:53.795003
933,145000.0,3 bedroom flat for sale,"1/2 55 Glencoe Street, GLASGOW, G13 1YW",http://www.rightmove.co.uk/properties/124094939#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Mitchells-Roberton-Limited/Glasgow-200477.html,G13,G13 1YW,3.0,2022-06-29 07:22:53.795003
934,145000.0,2 bedroom flat for sale,"Circus Drive, Dennistoun, Glasgow, G31",http://www.rightmove.co.uk/properties/124269542#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Slater-Hogg-and-Howison/Dennistoun-Glasgow-4865.html,G31,,2.0,2022-06-29 07:22:53.795003
935,145000.0,2 bedroom flat for sale,"Bothwell Street, City Centre, Glasgow, Lanarkshire, G2",http://www.rightmove.co.uk/properties/116271746#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Slater-Hogg-and-Howison/City-Centre-Glasgow-4835.html,G2,,2.0,2022-06-29 07:22:53.795003
936,145000.0,1 bedroom flat for sale,"Buccleuch Street, Garnethill, G3 6QN",http://www.rightmove.co.uk/properties/124001930#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Walker-Wylie-Estate-Agents/Glasgow-154922.html,G3,G3 6QN,1.0,2022-06-29 07:22:53.795003
937,145000.0,1 bedroom flat for sale,"Albion Street, Glasgow, Lanarkshire, G1",http://www.rightmove.co.uk/properties/124407458#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Slater-Hogg-and-Howison/City-Centre-Glasgow-4835.html,G1,,1.0,2022-06-29 07:22:53.795003
938,145000.0,2 bedroom flat for sale,"Reidvale Street, Glasgow",http://www.rightmove.co.uk/properties/123977399#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Yopa/Scotland-77046.html,,,2.0,2022-06-29 07:22:53.795003
939,145000.0,2 bedroom flat for sale,"108 Armadale Street, Glasgow, G31",http://www.rightmove.co.uk/properties/124235726#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Glasgow-202916.html,G31,,2.0,2022-06-29 07:22:53.795003
940,145000.0,3 bedroom terraced house for sale,"Anniversary Avenue, The Murray, East Kilbride, G75",http://www.rightmove.co.uk/properties/124131605#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Slater-Hogg-and-Howison/East-Kilbride-4875.html,G75,,3.0,2022-06-29 07:22:53.795003
941,145000.0,2 bedroom apartment for sale,"Florida Square, Glasgow",http://www.rightmove.co.uk/properties/124047407#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Allen-and-Harris/Shawlands-Glasgow-1833.html,,,2.0,2022-06-29 07:22:53.795003
942,145000.0,2 bedroom semi-detached house for sale,"Archerhill Road, Knightswood, Glasgow, G13",http://www.rightmove.co.uk/properties/85600260#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/ritehome/Glasgow-109363.html,G13,,2.0,2022-06-29 07:22:53.795003
